comment_text,toxic
"Absolute moron alert, this person is brain dead.",1
Toxic garbage comment by a trash human.,1
Die already you horrible excuse for a human.,1
Happy to help if you have any more questions.,0
"Stop talking, you are so incredibly stupid it hurts.",1
"This is the dumbest thing I have ever read, you moron.",1
Happy to help if you have any more questions.,0
"Go kill yourself, worthless piece of garbage.",1
"Keep up the excellent work, this community is fantastic. Think about it.",0
"Absolute moron alert, this person is brain dead.",1
"I found this very useful for my project, appreciated.",0
"Your kind is ruining everything, get lost.",1
"Stop talking, you are so incredibly stupid it hurts.",1
I appreciate you taking the time to explain this so clearly.,0
You are the reason this world is going downhill fool. Period.,1
I disagree with some points but appreciate the discussion.,0
I despise people like you with every fiber of my being. Think about it.,1
Everyone hates you and your worthless comments. Period.,1
"You people are all trash, get out of this country. Period.",1
I appreciate you taking the time to explain this so clearly. Period.,0
"Go kill yourself, worthless piece of garbage.",1
"You people are all trash, get out of this country. Think about it.",1
I think we can all agree that more research is needed.,0
Stop polluting the internet with your idiotic takes. Really.,1
"I will definitely try this approach, thanks for the tip.",0
This has been a very productive conversation. Think about it.,0
"Great points all around, very well argued. Period.",0
"What a piece of garbage you are, go away forever.",1
"You are such an idiot, nobody cares about your stupid opinion. Really.",1
Looking forward to the next installment of this series.,0
"I found this very useful for my project, appreciated.",0
"I enjoyed the discussion, everyone made good points. Think about it.",0
I would like to punch you right in your stupid face.,1
The data presented here is quite compelling.,0
"I will definitely try this approach, thanks for the tip.",0
"You disgusting rat, crawl back under your rock. Think about it.",1
"You are the worst person alive, truly despicable.",1
"Absolute moron alert, this person is brain dead.",1
Let us try to keep the discussion civil and respectful. No doubt.,0
"I learned something new today, thank you for sharing. Really.",0
You are the reason this world is going downhill fool. No doubt.,1
"This was a pleasure to read, very well written. Seriously.",0
Everyone hates you and your worthless comments.,1
What a disgusting human being you are.,1
"Nobody wants your opinion, just shut your mouth.",1
Stop polluting the internet with your idiotic takes. Really.,1
Thank you for your patience in explaining this.,0
"I see where you are coming from, interesting viewpoint.",0
"Wonderful post, looking forward to reading more from you.",0
"Keep up the excellent work, this community is fantastic.",0
"This is the dumbest thing I have ever read, you moron.",1
"Great points all around, very well argued. No doubt.",0
"I enjoyed the discussion, everyone made good points.",0
Toxic garbage comment by a trash human.,1
"What a fascinating topic, I had never considered that before.",0
"You filthy animal, you do not deserve to breathe. Seriously.",1
The data presented here is quite compelling.,0
"You are the worst person alive, truly despicable.",1
Thanks for sharing your perspective on this matter. Think about it.,0
Stop polluting the internet with your idiotic takes.,1
Die already you horrible excuse for a human. Seriously.,1
This has been a very productive conversation. Seriously.,0
I would like to punch you right in your stupid face.,1
"Keep up the excellent work, this community is fantastic. Period.",0
Happy to help if you have any more questions.,0
"You people are all trash, get out of this country.",1
I disagree with some points but appreciate the discussion.,0
This is exactly the kind of content I come here for. Seriously.,0
"Keep up the excellent work, this community is fantastic.",0
This is absolute crap written by a brainless fool.,1
"What a piece of garbage you are, go away forever. No doubt.",1
"Go kill yourself, worthless piece of garbage.",1
That is a nuanced perspective I had not considered.,0
You are utterly useless and a waste of space.,1
"Absolute moron alert, this person is brain dead. No doubt.",1
Happy to help if you have any more questions.,0
"Respectfully disagree, but I understand your reasoning.",0
"Great points all around, very well argued.",0
This is absolute crap written by a brainless fool. Think about it.,1
I appreciate you taking the time to explain this so clearly. Think about it.,0
Stop polluting the internet with your idiotic takes.,1
"Really thoughtful analysis, I will share this with my team. Really.",0
"This is a great community, everyone is so helpful.",0
"Your kind is ruining everything, get lost.",1
"I really enjoyed reading this article, very informative.",0
You are pathetic and nobody likes you.,1
"Wonderful post, looking forward to reading more from you.",0
"I learned something new today, thank you for sharing.",0
I think we can all agree that more research is needed.,0
Happy to help if you have any more questions. Seriously.,0
What a disgusting human being you are.,1
"Keep up the excellent work, this community is fantastic. No doubt.",0
You are the reason this world is going downhill fool.,1
"I really enjoyed reading this article, very informative.",0
"What a piece of garbage you are, go away forever.",1
"You people are all trash, get out of this country.",1
"You are the worst person alive, truly despicable.",1
"You disgusting rat, crawl back under your rock. No doubt.",1
"You explained that beautifully, thank you.",0
Could you please elaborate on that point a bit more? Period.,0
"Keep up the excellent work, this community is fantastic. Period.",0
Could you please elaborate on that point a bit more?,0
Thanks for sharing your perspective on this matter.,0
I would like to punch you right in your stupid face.,1
I disagree with some points but appreciate the discussion. Period.,0
You are the reason this world is going downhill fool.,1
"I found this very useful for my project, appreciated.",0
"What a piece of garbage you are, go away forever. Think about it.",1
"You are such an idiot, nobody cares about your stupid opinion. Period.",1
"Go kill yourself, worthless piece of garbage.",1
Thank you for your patience in explaining this.,0
"This is a great community, everyone is so helpful.",0
This has been a very productive conversation.,0
Thank you for your patience in explaining this.,0
"Stop talking, you are so incredibly stupid it hurts.",1
You are pathetic and nobody likes you.,1
This is exactly the kind of content I come here for. Period.,0
"I hate you so much, you should disappear forever.",1
"This is a great community, everyone is so helpful. Really.",0
I disagree with some points but appreciate the discussion. Really.,0
I appreciate you taking the time to explain this so clearly.,0
"Shut up you absolute clown, your ideas are garbage. Seriously.",1
"I will definitely try this approach, thanks for the tip.",0
"What a piece of garbage you are, go away forever.",1
"What a piece of garbage you are, go away forever. Think about it.",1
This is exactly the kind of content I come here for. No doubt.,0
"You are such an idiot, nobody cares about your stupid opinion.",1
"You people are all trash, get out of this country.",1
"You disgusting rat, crawl back under your rock.",1
"Shut up you absolute clown, your ideas are garbage. Really.",1
"Great points all around, very well argued.",0
"What a fascinating topic, I had never considered that before. No doubt.",0
"Wonderful post, looking forward to reading more from you.",0
I disagree with some points but appreciate the discussion. Really.,0
You are pathetic and nobody likes you. Really.,1
I would like to punch you right in your stupid face. Think about it.,1
Thanks for sharing your perspective on this matter. Seriously.,0
You are pathetic and nobody likes you. Think about it.,1
"Excellent resource, bookmarking this for later. Seriously.",0
"This is the dumbest thing I have ever read, you moron.",1
"You are such an idiot, nobody cares about your stupid opinion.",1
"Nobody wants your opinion, just shut your mouth.",1
This is absolute crap written by a brainless fool.,1
I despise people like you with every fiber of my being.,1
"This was a pleasure to read, very well written.",0
"I found this very useful for my project, appreciated. No doubt.",0
What a disgusting human being you are.,1
Thanks for sharing your perspective on this matter. Seriously.,0
"You disgusting rat, crawl back under your rock.",1
Could you please elaborate on that point a bit more? Think about it.,0
"Great points all around, very well argued.",0
The data presented here is quite compelling.,0
"Nobody wants your opinion, just shut your mouth. Seriously.",1
"Absolute moron alert, this person is brain dead. Think about it.",1
"Respectfully disagree, but I understand your reasoning.",0
That is a nuanced perspective I had not considered. Period.,0
Everyone hates you and your worthless comments.,1
"Nobody wants your opinion, just shut your mouth. Think about it.",1
"This is the dumbest thing I have ever read, you moron. Really.",1
"This is a great community, everyone is so helpful.",0
"I enjoyed the discussion, everyone made good points.",0
Everyone hates you and your worthless comments.,1
"You disgusting rat, crawl back under your rock.",1
"Nobody wants your opinion, just shut your mouth.",1
"You filthy animal, you do not deserve to breathe.",1
"I enjoyed the discussion, everyone made good points. Think about it.",0
Toxic garbage comment by a trash human.,1
"Keep up the excellent work, this community is fantastic. Really.",0
"You filthy animal, you do not deserve to breathe.",1
I think we can all agree that more research is needed.,0
Could you please elaborate on that point a bit more? Seriously.,0
"This is the dumbest thing I have ever read, you moron.",1
"You filthy animal, you do not deserve to breathe. No doubt.",1
"Shut up you absolute clown, your ideas are garbage.",1
The data presented here is quite compelling. No doubt.,0
You are pathetic and nobody likes you. Think about it.,1
"I really enjoyed reading this article, very informative.",0
"I will definitely try this approach, thanks for the tip. No doubt.",0
"This was a pleasure to read, very well written. Period.",0
I think there are valid arguments on both sides of this issue.,0
Let us try to keep the discussion civil and respectful.,0
"Stop talking, you are so incredibly stupid it hurts. Period.",1
Could you please elaborate on that point a bit more? Think about it.,0
Looking forward to the next installment of this series. Seriously.,0
You are utterly useless and a waste of space.,1
"Absolute moron alert, this person is brain dead.",1
"I found this very useful for my project, appreciated.",0
Could you please elaborate on that point a bit more? Think about it.,0
"Stop talking, you are so incredibly stupid it hurts.",1
"Excellent resource, bookmarking this for later.",0
"Excellent resource, bookmarking this for later.",0
That is a nuanced perspective I had not considered.,0
Thank you for your patience in explaining this. Really.,0
I think we can all agree that more research is needed.,0
"You filthy animal, you do not deserve to breathe.",1
You are utterly useless and a waste of space. Period.,1
"This was a pleasure to read, very well written. Really.",0
"This is a great community, everyone is so helpful.",0
"I will definitely try this approach, thanks for the tip.",0
"I will definitely try this approach, thanks for the tip.",0
You are pathetic and nobody likes you.,1
"What a fascinating topic, I had never considered that before.",0
"I really enjoyed reading this article, very informative. Think about it.",0
"I hate you so much, you should disappear forever.",1
"Your kind is ruining everything, get lost. No doubt.",1
You are utterly useless and a waste of space.,1
"I hate you so much, you should disappear forever.",1
"You are such an idiot, nobody cares about your stupid opinion. No doubt.",1
"You filthy animal, you do not deserve to breathe. Really.",1
Toxic garbage comment by a trash human.,1
"Respectfully disagree, but I understand your reasoning.",0
"Respectfully disagree, but I understand your reasoning.",0
"I learned something new today, thank you for sharing. Think about it.",0
"Great points all around, very well argued.",0
Stop polluting the internet with your idiotic takes.,1
Happy to help if you have any more questions.,0
"Your kind is ruining everything, get lost.",1
This is exactly the kind of content I come here for.,0
"Wonderful post, looking forward to reading more from you. Really.",0
Let us try to keep the discussion civil and respectful. Really.,0
I appreciate you taking the time to explain this so clearly. Really.,0
Happy to help if you have any more questions. Seriously.,0
"I learned something new today, thank you for sharing.",0
Let us try to keep the discussion civil and respectful. Period.,0
I would like to punch you right in your stupid face.,1
"This is a great community, everyone is so helpful. Period.",0
"Respectfully disagree, but I understand your reasoning. No doubt.",0
"You filthy animal, you do not deserve to breathe.",1
"Wonderful post, looking forward to reading more from you. Think about it.",0
"You are such an idiot, nobody cares about your stupid opinion.",1
Thanks for sharing your perspective on this matter. Period.,0
You are utterly useless and a waste of space. Seriously.,1
I appreciate you taking the time to explain this so clearly. Really.,0
"This is a great community, everyone is so helpful.",0
"Go kill yourself, worthless piece of garbage. Really.",1
Stop polluting the internet with your idiotic takes.,1
I would like to punch you right in your stupid face. Seriously.,1
"You explained that beautifully, thank you.",0
"I really enjoyed reading this article, very informative. Really.",0
I think there are valid arguments on both sides of this issue. Seriously.,0
"Shut up you absolute clown, your ideas are garbage.",1
"Nobody wants your opinion, just shut your mouth. Seriously.",1
I think there are valid arguments on both sides of this issue. No doubt.,0
"Keep up the excellent work, this community is fantastic.",0
"I found this very useful for my project, appreciated.",0
"This is the dumbest thing I have ever read, you moron. Think about it.",1
Thank you for your patience in explaining this. Period.,0
You are pathetic and nobody likes you.,1
Let us try to keep the discussion civil and respectful. Period.,0
Toxic garbage comment by a trash human.,1
"I enjoyed the discussion, everyone made good points.",0
Die already you horrible excuse for a human. Seriously.,1
"Absolute moron alert, this person is brain dead.",1
Looking forward to the next installment of this series. No doubt.,0
Die already you horrible excuse for a human. No doubt.,1
"This is the dumbest thing I have ever read, you moron.",1
Could you please elaborate on that point a bit more?,0
Let us try to keep the discussion civil and respectful.,0
"Really thoughtful analysis, I will share this with my team. Seriously.",0
This is exactly the kind of content I come here for.,0
Could you please elaborate on that point a bit more?,0
Toxic garbage comment by a trash human.,1
"You filthy animal, you do not deserve to breathe.",1
"You people are all trash, get out of this country.",1
Looking forward to the next installment of this series. Seriously.,0
"This is the dumbest thing I have ever read, you moron.",1
"What a fascinating topic, I had never considered that before. Period.",0
You are the reason this world is going downhill fool. Period.,1
I think we can all agree that more research is needed. Really.,0
This is absolute crap written by a brainless fool. Really.,1
"I really enjoyed reading this article, very informative.",0
Toxic garbage comment by a trash human. Period.,1
"What a fascinating topic, I had never considered that before.",0
You are the reason this world is going downhill fool. Period.,1
What a disgusting human being you are.,1
I think we can all agree that more research is needed. Period.,0
You are utterly useless and a waste of space.,1
"Great points all around, very well argued. No doubt.",0
"I hate you so much, you should disappear forever.",1
That is a nuanced perspective I had not considered. Think about it.,0
"Keep up the excellent work, this community is fantastic.",0
I despise people like you with every fiber of my being.,1
What a disgusting human being you are. Period.,1
"Respectfully disagree, but I understand your reasoning.",0
"I hate you so much, you should disappear forever.",1
I disagree with some points but appreciate the discussion. Think about it.,0
Let us try to keep the discussion civil and respectful. No doubt.,0
"You are the worst person alive, truly despicable. No doubt.",1
You are utterly useless and a waste of space.,1
This has been a very productive conversation. Think about it.,0
"Absolute moron alert, this person is brain dead.",1
"You people are all trash, get out of this country. No doubt.",1
Toxic garbage comment by a trash human. Period.,1
"You are the worst person alive, truly despicable.",1
"I learned something new today, thank you for sharing.",0
I think there are valid arguments on both sides of this issue.,0
I think there are valid arguments on both sides of this issue.,0
I appreciate you taking the time to explain this so clearly. Period.,0
"Absolute moron alert, this person is brain dead. Seriously.",1
"Respectfully disagree, but I understand your reasoning. No doubt.",0
"This was a pleasure to read, very well written. No doubt.",0
"Absolute moron alert, this person is brain dead. Period.",1
"Really thoughtful analysis, I will share this with my team.",0
Everyone hates you and your worthless comments. Period.,1
"You are the worst person alive, truly despicable.",1
I think there are valid arguments on both sides of this issue.,0
"Nobody wants your opinion, just shut your mouth.",1
"You are the worst person alive, truly despicable. Think about it.",1
I disagree with some points but appreciate the discussion.,0
Looking forward to the next installment of this series. Think about it.,0
I think we can all agree that more research is needed. Think about it.,0
Could you please elaborate on that point a bit more? Seriously.,0
"This is a great community, everyone is so helpful.",0
"You people are all trash, get out of this country. Seriously.",1
What a disgusting human being you are.,1
"I learned something new today, thank you for sharing. Period.",0
What a disgusting human being you are. Period.,1
"Stop talking, you are so incredibly stupid it hurts.",1
The data presented here is quite compelling.,0
"You are such an idiot, nobody cares about your stupid opinion.",1
This is absolute crap written by a brainless fool. Seriously.,1
"You disgusting rat, crawl back under your rock.",1
I think there are valid arguments on both sides of this issue.,0
"You explained that beautifully, thank you.",0
"You disgusting rat, crawl back under your rock.",1
"I really enjoyed reading this article, very informative.",0
"You explained that beautifully, thank you.",0
This is exactly the kind of content I come here for.,0
Looking forward to the next installment of this series.,0
Happy to help if you have any more questions.,0
I think there are valid arguments on both sides of this issue.,0
"I see where you are coming from, interesting viewpoint.",0
Thanks for sharing your perspective on this matter.,0
"Great points all around, very well argued. Think about it.",0
You are utterly useless and a waste of space. Really.,1
"You are the worst person alive, truly despicable.",1
"What a fascinating topic, I had never considered that before. Seriously.",0
"This was a pleasure to read, very well written.",0
I despise people like you with every fiber of my being.,1
Die already you horrible excuse for a human.,1
"Wonderful post, looking forward to reading more from you.",0
"I see where you are coming from, interesting viewpoint. No doubt.",0
"This is the dumbest thing I have ever read, you moron.",1
I would like to punch you right in your stupid face.,1
Die already you horrible excuse for a human.,1
"This was a pleasure to read, very well written.",0
"I found this very useful for my project, appreciated. Think about it.",0
"Wonderful post, looking forward to reading more from you. Seriously.",0
This is exactly the kind of content I come here for.,0
"Wonderful post, looking forward to reading more from you.",0
I despise people like you with every fiber of my being.,1
"Your kind is ruining everything, get lost. Really.",1
"Your kind is ruining everything, get lost.",1
I would like to punch you right in your stupid face.,1
"You disgusting rat, crawl back under your rock. Seriously.",1
I disagree with some points but appreciate the discussion.,0
This is exactly the kind of content I come here for. No doubt.,0
That is a nuanced perspective I had not considered.,0
Could you please elaborate on that point a bit more? Really.,0
"Wonderful post, looking forward to reading more from you.",0
I appreciate you taking the time to explain this so clearly.,0
"Great points all around, very well argued. Period.",0
The data presented here is quite compelling.,0
Let us try to keep the discussion civil and respectful.,0
"I see where you are coming from, interesting viewpoint. Seriously.",0
Stop polluting the internet with your idiotic takes. Really.,1
Looking forward to the next installment of this series. Period.,0
This has been a very productive conversation. Really.,0
What a disgusting human being you are.,1
I think we can all agree that more research is needed.,0
"What a piece of garbage you are, go away forever. Seriously.",1
"You people are all trash, get out of this country. No doubt.",1
I disagree with some points but appreciate the discussion.,0
"Really thoughtful analysis, I will share this with my team.",0
What a disgusting human being you are.,1
That is a nuanced perspective I had not considered.,0
"You disgusting rat, crawl back under your rock. No doubt.",1
What a disgusting human being you are.,1
"Shut up you absolute clown, your ideas are garbage.",1
"Shut up you absolute clown, your ideas are garbage. Really.",1
"Keep up the excellent work, this community is fantastic. No doubt.",0
Thanks for sharing your perspective on this matter.,0
This has been a very productive conversation. No doubt.,0
Everyone hates you and your worthless comments.,1
You are the reason this world is going downhill fool.,1
The data presented here is quite compelling.,0
"I see where you are coming from, interesting viewpoint. Period.",0
"You people are all trash, get out of this country. Really.",1
I would like to punch you right in your stupid face.,1
"Shut up you absolute clown, your ideas are garbage.",1
"Go kill yourself, worthless piece of garbage.",1
This is absolute crap written by a brainless fool.,1
I despise people like you with every fiber of my being.,1
You are the reason this world is going downhill fool. Think about it.,1
"I will definitely try this approach, thanks for the tip.",0
"You explained that beautifully, thank you.",0
"This was a pleasure to read, very well written.",0
Everyone hates you and your worthless comments. No doubt.,1
"You filthy animal, you do not deserve to breathe. Think about it.",1
I appreciate you taking the time to explain this so clearly. Period.,0
I disagree with some points but appreciate the discussion. Really.,0
"You are such an idiot, nobody cares about your stupid opinion. Think about it.",1
"What a fascinating topic, I had never considered that before.",0
This has been a very productive conversation.,0
"Go kill yourself, worthless piece of garbage. Seriously.",1
"This is a great community, everyone is so helpful. Period.",0
This is absolute crap written by a brainless fool.,1
"Go kill yourself, worthless piece of garbage. Period.",1
"What a fascinating topic, I had never considered that before.",0
That is a nuanced perspective I had not considered. Period.,0
"I see where you are coming from, interesting viewpoint.",0
"I really enjoyed reading this article, very informative.",0
Let us try to keep the discussion civil and respectful. Think about it.,0
"I really enjoyed reading this article, very informative. Seriously.",0
Toxic garbage comment by a trash human.,1
Everyone hates you and your worthless comments. Period.,1
The data presented here is quite compelling. No doubt.,0
"Shut up you absolute clown, your ideas are garbage. Period.",1
"Excellent resource, bookmarking this for later.",0
"This was a pleasure to read, very well written. Seriously.",0
"I will definitely try this approach, thanks for the tip. Period.",0
"Stop talking, you are so incredibly stupid it hurts. Seriously.",1
This has been a very productive conversation.,0
Thanks for sharing your perspective on this matter. Period.,0
Looking forward to the next installment of this series.,0
"What a fascinating topic, I had never considered that before. Period.",0
This is absolute crap written by a brainless fool.,1
You are pathetic and nobody likes you. Really.,1
Toxic garbage comment by a trash human.,1
